Stock #,Availability,Shape,Carat,Color,Clarity,Cut,Pol,Sym,floInt,FlrColor,Measurement,Lab,Report #,Treatment,Price Per Carat, Discount,Total Amount,FancyColor,FancyColorIntensity,FancyColorOvertone,Country,State,City,Depth,Table,GirdleThick,GirdleThin,Girdle Percent,Girdle Condition,CuletSize,Culet Condition,CrownHeight,Crown Angle,PavilionDepth,Pavilion Angle,Laser Inscription,Eye Clean,Cert comment,Member Comments,Report Issue Date,Report Issue Location,Seller Spec,Star Length,Shade,Black Inclusion,Open Inclusion,Center Inclusion,Milky,ReportType,KeyToSymbols,Brand,IsMatchedPairSeparable,PairStock,AllowRapLinkFeed,ParcelStones,CertFilename,DiamondImage,Sarine Loupe,DisplayCert,TradeShow,Video Link,Certificate Url
B40-IZ,G,ROUND,1.21,D,VS1,EX,EX,EX,NONE,,6.77 - 6.83 * 4.20,IGI,459129664,HPHT,163.2,-98.3,197.47,,,,INDIA,,INDIA,61.7,60,MED,STK,4.12,,POINTED,,14.5,36.3,43,40.7,,100%,, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1566&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1566&UrlType=Video, https://api.igi.org/viewpdf.php?r=459129664
B66-IZ,G,ROUND,1.01,E,VVS2,EX,EX,EX,NONE,,6.36 - 6.40 * 4.01,IGI,459130723,HPHT,164.64,-98.32,166.29,,,,INDIA,,INDIA,62.9,54.5,MED,STK,3.92,,POINTED,,16.5,35.9,42.5,40.4,,100%,, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1583&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1583&UrlType=Video, https://api.igi.org/viewpdf.php?r=459130723
B104-IZ,G,ROUND,1.17,D,SI1,ID,EX,EX,NONE,,6.74 - 6.78 * 4.21,IGI,459194594,HPHT,135.85,-97.91,158.94,,,,INDIA,,INDIA,62.2,55,MED,,3.55,,POINTED,,16,35.2,42.5,40.6,,100%,, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1612&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1612&UrlType=Video, https://api.igi.org/viewpdf.php?r=459194594
B126-IZ,G,ROUND,1.02,D,VVS2,ID,EX,EX,NONE,,6.38 - 6.42 * 4.00,IGI,462172057,HPHT,169.56,-98.43,172.95,,,,INDIA,,INDIA,62.5,56.5,MED,,3.91,,POINTED,,16,35.9,42.5,40.5,,100%,, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1637&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1637&UrlType=Video, https://api.igi.org/viewpdf.php?r=462172057
B151-IZ,G,ROUND,1.7,D,VS1,ID,EX,EX,NONE,,7.63 - 7.67 * 4.71,IGI,462173996,CVD,168.84,-98.74,287.03,,,,INDIA,,INDIA,61.6,54.5,MED,STK,3.79,,POINTED,,16,34.6,42,40.1,,100%,, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1649&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1649&UrlType=Video, https://api.igi.org/viewpdf.php?r=462173996
B165-IZ,G,EMERALD,1.5,E,SI1,,EX,EX,NONE,,6.82 - 5.32 * 3.82,IGI,462174628,CVD,113.24,-98.51,169.86,,,,INDIA,,INDIA,71.8,62.5,STK,,5.3,,LONG,,15.5,27.4,51,46.1,,100%,This Laboratory Grown Diamond was created by Chemical Vapor Deposition (CVD) growth process and may include post-growth treatment<br/>Type IIa, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1660&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1660&UrlType=Video, https://api.igi.org/viewpdf.php?r=462174628
B163-IZ,G,ROUND,1.24,D,VS2,EX,EX,EX,NONE,,6.78 - 6.82 * 4.30,IGI,462174641,HPHT,147.2,-98.16,182.53,,,,INDIA,,INDIA,63.2,58.5,MED,STK,4.55,,POINTED,,14.5,35.2,44,41.4,,100%,As Grown - No indication of post-growth treatment<br/>This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process<br/>Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1663&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1663&UrlType=Video, https://api.igi.org/viewpdf.php?r=462174641
B168-IZ,G,ROUND,1.13,D,VS2,ID,EX,EX,NONE,,6.63 - 6.68 * 4.13,IGI,462174671,HPHT,147.2,-98.16,166.34,,,,INDIA,,INDIA,62,59.5,MED,,4.05,,POINTED,,14,35.2,43.5,41.2,,100%,As Grown - No indication of post-growth treatment<br/>This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process<br/>Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1669&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1669&UrlType=Video, https://api.igi.org/viewpdf.php?r=462174671
B174-IZ,G,ROUND,1.12,D,VS1,EX,EX,EX,NONE,,6.63 - 6.66 * 4.08,IGI,462174785,HPHT,163.2,-98.3,182.78,,,,INDIA,,INDIA,61.5,58.5,MED,STK,4.67,,POINTED,,14,33.9,43,40.6,,100%,As Grown - No indication of post-growth treatment<br/>This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process<br/>Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1672&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1672&UrlType=Video, https://api.igi.org/viewpdf.php?r=462174785
B190-IZ,G,ROUND,1.03,D,VVS2,ID,EX,EX,NONE,,6.47 - 6.53 * 3.99,IGI,464113633,HPHT,169.56,-98.43,174.65,,,,INDIA,,INDIA,61.5,57.5,MED,,3.85,,POINTED,,14.5,34.9,43,40.7,,100%,As Grown - No indication of post-growth treatment<br/>This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process<br/>Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1683&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1683&UrlType=Video, https://api.igi.org/viewpdf.php?r=464113633
